make,model,year,mileage,hp,gear,fuel,price
Volkswagen,Tiguan,2016,77736,239,automatic,diesel,30890
Volkswagen,Golf,2019,79000,245,manual,gasoline,24470
Volkswagen,Tiguan,2019,90836,241,automatic,diesel,35380
Volkswagen,Tiguan,2019,75537,190,automatic,gasoline,33490
Volkswagen,Passat,2019,34647,150,manual,diesel,22350
Volkswagen,Passat Variant,2018,79855,150,automatic,diesel,26730
Volkswagen,Golf Variant,2019,92013,116,automatic,diesel,18777
Volkswagen,Golf,2020,36678,245,automatic,gasoline,32920
Volkswagen,T6,2021,9890,110,manual,diesel,37690
Volkswagen,T6 Multivan,2021,9741,150,automatic,diesel,54950
Volkswagen,Touran,2021,49711,150,automatic,diesel,40440
Volkswagen,Golf,2022,6750,131,manual,gasoline,25800
Volkswagen,up,2018,19686,60,manual,gasoline,12220
Volkswagen,Golf,2018,0,300,automatic,gasoline,50390
Volkswagen,Tiguan,2018,0,200,automatic,diesel,65441
Volkswagen,Golf,2022,7591,116,manual,diesel,27780
Volkswagen,T-Roc,2018,57187,150,manual,gasoline,21990
Volkswagen,Golf,2022,8844,116,manual,diesel,27450
Volkswagen,Golf,2022,21585,150,automatic,diesel,29850
Volkswagen,Tiguan,2020,7612,190,automatic,gasoline,38890
Volkswagen,Touran,2017,89722,150,automatic,diesel,26990
Volkswagen,Golf,2021,26359,245,automatic,gasoline,34949
Volkswagen,Tiguan,2018,41287,125,manual,gasoline,21990
Volkswagen,Golf,2018,0,200,automatic,diesel,48480
Volkswagen,Tiguan,2018,10,150,automatic,diesel,42990
Volkswagen,Touran,2019,57150,116,manual,diesel,21833
Volkswagen,Caddy,2019,0,102,manual,diesel,31980
Volkswagen,Taigo,2019,0,110,manual,gasoline,33880
Volkswagen,Touran,2022,17500,150,automatic,diesel,37980
Volkswagen,Caddy,2019,17490,131,manual,gasoline,25640
Volkswagen,Golf Variant,2021,38600,110,automatic,gasoline,25490
Volkswagen,T-Roc,2019,27276,150,automatic,gasoline,26490
Volkswagen,Polo,2019,26300,95,automatic,gasoline,16975
Volkswagen,Golf Variant,2021,25619,150,automatic,diesel,27490
Volkswagen,Golf,2021,24754,245,automatic,gasoline,36890
Volkswagen,Passat Variant,2019,28200,150,automatic,gasoline,27930
Volkswagen,T6 Caravelle,2021,25436,150,automatic,diesel,49960
Volkswagen,T-Roc,2021,3700,150,automatic,gasoline,31960
Volkswagen,Tiguan,2020,33923,150,automatic,gasoline,30990
Volkswagen,California,2020,0,204,automatic,diesel,101545
Volkswagen,T-Roc,2021,29000,150,automatic,gasoline,28980
Volkswagen,T-Roc,2021,7781,110,manual,gasoline,29910
Volkswagen,Polo,2020,19880,95,manual,gasoline,17442
Volkswagen,Passat,2022,19850,150,automatic,gasoline,35810
Volkswagen,Golf,2021,15274,200,automatic,diesel,35500
Volkswagen,Golf,2022,5344,131,manual,gasoline,27680
Volkswagen,T7 Multivan,2022,15,150,automatic,diesel,68980
Volkswagen,T-Roc,2022,8,150,automatic,gasoline,34490
Volkswagen,Golf,2022,7242,245,automatic,Hybrid - gasoline,44950
Volkswagen,Passat Variant,2019,62058,150,manual,diesel,22290
Volkswagen,Golf,2021,34775,116,manual,diesel,24780
Volkswagen,Touareg,2020,39431,286,automatic,diesel,74990
Volkswagen,Caddy,2020,10,102,manual,diesel,30480
Volkswagen,T6 Multivan,2021,18671,150,automatic,diesel,60980
Volkswagen,Golf,2021,0,150,automatic,Hybrid - gasoline,49482
Volkswagen,T-Cross,2021,0,150,automatic,gasoline,36980
Volkswagen,Tiguan,2019,72900,239,automatic,diesel,34340
Volkswagen,Tiguan,2021,28518,150,automatic,diesel,36777
Volkswagen,T-Roc,2021,0,150,automatic,gasoline,41770
Volkswagen,T6 California,2021,27483,150,automatic,diesel,85990
Volkswagen,Polo,2021,6500,95,automatic,gasoline,23880
Volkswagen,Arteon,2021,15,190,automatic,gasoline,47890
Volkswagen,Golf Variant,2015,123834,150,automatic,diesel,17999
Volkswagen,Golf,2019,38800,245,automatic,gasoline,27440
Volkswagen,Polo,2021,6847,95,manual,gasoline,19390
Volkswagen,T6 Caravelle,2018,80241,204,automatic,diesel,37990
Volkswagen,T-Cross,2018,0,150,automatic,gasoline,34950
Volkswagen,up,2019,26300,60,manual,gasoline,9490
Volkswagen,Polo,2019,24717,95,manual,diesel,15925
Volkswagen,Passat Variant,2020,15977,218,automatic,Hybrid - gasoline,41946
Volkswagen,Tiguan,2018,84625,150,automatic,diesel,29990
Volkswagen,Golf Variant,2020,36900,150,automatic,gasoline,27490
Volkswagen,up,2019,9007,60,manual,gasoline,12870
Volkswagen,up,2019,0,65,manual,gasoline,20029
Volkswagen,Tiguan,2020,17713,190,automatic,gasoline,32500
Volkswagen,Golf Variant,2021,20900,150,automatic,diesel,30490
Volkswagen,Polo,2018,38896,80,manual,gasoline,12950
Volkswagen,T6,2018,100448,150,manual,diesel,28441
Volkswagen,Crafter,2017,110905,140,manual,diesel,24990
Volkswagen,Caddy,2021,6350,102,manual,diesel,32990
Volkswagen,Golf,2018,26814,116,manual,gasoline,18995
Volkswagen,Polo,2018,31150,95,manual,gasoline,18290
Volkswagen,Polo,2018,56125,95,manual,gasoline,17950
Volkswagen,T-Roc,2021,17870,300,manual,gasoline,42770
Volkswagen,Polo,2021,0,95,automatic,gasoline,27790
Volkswagen,Passat Variant,2019,30937,150,automatic,gasoline,26490
Volkswagen,Golf,2020,14252,245,automatic,gasoline,32030
Volkswagen,Tiguan,2019,37486,150,automatic,diesel,35980
Volkswagen,T6 Multivan,2017,96219,204,automatic,diesel,43809
Volkswagen,Passat Variant,2019,51420,120,automatic,diesel,21480
Volkswagen,T6 Multivan,2018,72400,102,manual,diesel,38410
Volkswagen,Passat Variant,2016,90700,190,automatic,diesel,25680
Volkswagen,Golf Variant,2020,25438,150,manual,gasoline,25010
Volkswagen,Golf,2020,0,150,automatic,Hybrid - gasoline,49762
Volkswagen,T6,2022,90,110,manual,diesel,37780
Volkswagen,Golf,2016,45233,110,manual,gasoline,14980
Volkswagen,Golf,2016,0,300,automatic,gasoline,49175
Volkswagen,Golf,2022,8999,200,automatic,diesel,39840
Volkswagen,T-Cross,2022,0,110,manual,gasoline,27680
Volkswagen,up,2022,0,116,manual,gasoline,25324
Volkswagen,T-Roc,2022,0,150,automatic,gasoline,39480
Volkswagen,Passat Variant,2021,18700,218,automatic,Hybrid - gasoline,40840
Volkswagen,T-Cross,2021,9354,95,manual,gasoline,22991
Volkswagen,Taigo,2022,3500,150,automatic,gasoline,34850
Volkswagen,Touran,2021,14913,150,automatic,gasoline,37990
Volkswagen,T6 California,2022,10,204,automatic,diesel,92999
Volkswagen,Caddy,2021,13600,75,manual,diesel,24840
Volkswagen,Tiguan,2020,9677,190,automatic,gasoline,35977
Volkswagen,Golf Variant,2021,26149,110,manual,gasoline,23850
Volkswagen,Caddy,2019,85595,75,manual,diesel,15790
